Question Number,Question Text,Choices,Correct Answer,LLM Answer,Correct?
71,"Another term for POTS, or Plain Old Telephone Service, is _______________.","a. Public Available Telephone Network
b. Public Switched Telephone Exchange
c. Phone Switched Transport Network
d. Public Switched Telephone Network
e. Public Available Telephone Exchange
",d,d,1
72,A baud rate is a measurement of the number of ______________________.,"a. bits that can be sent across a telephone line every minute
b. bytes that can be sent across a telephone line every second
c. bits that can be sent across a telephone line every second
d. bytes that can be sent across a telephone line every minute
",c,a,0
73,What system did Duke grads build that is still in use today?,"a. POTS
b. PSTN
c. USENET
d. DSL
",c,c,1
74,Which device is used to transfer data across a dial-up connection?,"a. ATM
b. Modem
c. Ethernet cables
d. USENET
",b,b,1
75,Modems take data that computers can understand and turn them into _____ that can be transmitted over POTS.,"a. Audible wavelengths
b. Baud rates
c. Modulating electrical charges
d. PSTN
",a,c,0
76,T1 is short for __________.,"a. Transmission 1
b. Transportation 1
c. Transmission System 1
d. Transportation System 1",c,c,1
77,How fast is a T1 line?,"a. 128 Mb/sec
b. 1.544 Mb/sec
c. 1 Mb/sec
d. 44.763 Mb/sec",b,d,0
78,Select all statements that are true of cable internet connections.,"a. They're wireless connections
b. They're broadband connections
c. They're dial-up connections
d. They're shared bandwidth connections
","b,d","b,d",1
79,What are the subprotocols for PPP (Point to Point Protocol)? Select all that apply.,"a. FCS
b. LCP
c. Compression
d. NCP
","b,d","b,c,d",0
80,What do you call the demarcation point for fiber technologies?,"a. ONT
b. FTTN
c. FTTX
d. DSLAM
",a,a,1
81,What does WAN stand for?,"a. Wireless Local Area Network
b. Wireless Area Network
c. Wired Area Network
d. Wide Area Network
",d,d,1
82,"In a WAN, what is the area between a demarcation point and the ISP's core network known as?","a. a local loop
b. a Local Area Network
c. A local link
d. An access point
",a,c,0
83,A point-to-point VPN is also known as a ______________.,"a. port forwarding VPN
b. one-to-many VPN
c. data link VPN
d. site-to-site VPN
",d,"c,f",0
84,Who handles sending data from one site to another?,"a. T-carrier line
b. CTO
c. ISP
d. VPN
",c,c,1
85,How many address fields does an 802.11 header contain?,"a. 1
b. 4
c. 2
d. 3",b,c,0
86,What are wireless channels?,"a. a collision domain
b. a point-to-point wireless connection
c. an example of an ad-hoc network
d. Individual, smaller sections of the overall frequency band used by a wireless network
",d,d,1
87,Which of the following frequencies do wireless networks typically operate on? Select all that apply.,"a. 2.4Ghz
b. 1.544Ghz
c. 5Ghz
d. 88Mhz","a,c","a,c",1
88,WPA3 was built with the intention of replacing which protocol?,"a. WPA2
b. WLAN
c. WEP
d. IEEE 802.11",a,a,1
89,An 802.11 frame contains a number of fields. Which field describes the version of 802.11 that is being used?,"a. Sequence control
b. Frame control
c. Address
d. Duration
",b,b,1
