Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
21,Which of the following commands checks the status of the interfaces?,"a. show interface
b. show status
c. show interface status
d. show status interface
",,c,a,,"The correct command to check the status of the interfaces is 'show interface'. This command provides detailed information about all interfaces on the device, including their status, configuration, and statistics.",['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/interface/command/ir-cr-book/ios-interface-cr-commands.html'],0,chapter2_ethernet_lans,0.9,0.9789256834569945
22,You are in console line configuration mode. Which of the following commands would place you in enable mode?,"a. end
b. back
c. enable
d. change
",,a,c,,"The 'enable' command is used to enter enable mode from the console line configuration mode in Cisco IOS. This command allows access to privileged EXEC mode, where you can view configuration, make changes, etc.",['https://www.cisco.com/c/en/us/td/docs/ios/12_2/configfun/command/reference/ffun_r/frf019.html'],0,chapter2_ethernet_lans,0.9,0.9987352066262105
23,Which of the following commands copies the configuration from RAM into NVRAM,"a. copy running-config startup-config
b. copy startup-config running-config
c. copy ram nvram
d. copy nvram ram
",,a,a,,"The correct command to copy the configuration from RAM into NVRAM is 'copy running-config startup-config'. This command saves the running configuration (in RAM) to the startup configuration (in NVRAM), ensuring that the configuration is saved and will be used on next boot.",['https://www.cisco.com/c/en/us/support/docs/routers/10000-series-routers/15095-backup-config.html'],1,chapter2_ethernet_lans,0.9,0.9999953958625991
24,"The command that configures the switch as a DHCP client to discover its IPv4 address, mask, and default gateway is ip address dhcp.","a. TRUE
b. FALSE
",,a,b,,"The correct command to configure a switch as a DHCP client to discover its IPv4 address, mask, and default gateway is 'ip address dhcp' in interface configuration mode, not 'ip address dhcp' in global configuration mode.",['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/ipaddr_dhcp/configuration/15-mt/dhcp-15-mt-book/dhcp-dyn-client.html'],0,chapter2_ethernet_lans,0.9,0.9997821825756604
25,In which of the following modes of the CLI could you configure the duplex setting for interface Fast Ethernet 0/2?,"a. Global configuration mode
b. Enable mode
c. Interface configuration mode
d. VLAN mode
",,c,c,,"You can configure the duplex setting for a specific interface in the Interface configuration mode. This mode allows you to make changes to individual interfaces, such as Fast Ethernet 0/2, including configuring duplex settings.",['https://www.cisco.com/c/en/us/support/docs/security-vpn/remote-authentication-dial-user-service-radius/13859-8021x-config.html'],1,chapter2_ethernet_lans,0.9,0.9999840716318578
26,Which of the following commands administratively enables an interface,"a. shutdown
b. no shutdown
c. enable interface
d. interface enable
",,b,b,,The correct command to administratively enable an interface in Cisco IOS is 'no shutdown'. This command brings the interface up and allows traffic to pass through it.,['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/interface/command/ir-cr-book/ir-s1.html'],1,chapter2_ethernet_lans,0.95,0.9962224023421767
27,"Switches use STP to prevent loops by causing some interfaces to block, meaning that they do not send or receive frames.","a. TRUE
b. FALSE
",,a,a,,"Switches use Spanning Tree Protocol (STP) to prevent loops by blocking certain interfaces. When a switch detects a loop in the network, it will block redundant paths by putting some interfaces in a blocking state, thus preventing loops and broadcast storms.",['https://www.cisco.com/c/en/us/support/docs/lan-switching/spanning-tree-protocol/5234-5.html'],1,chapter2_ethernet_lans,0.9,0.9998389054171261
28,A Layer 2 switch configuration places all its physical ports into VLAN 2. The IP addressing plan shows that address 175.28.1.150 (with mask 255.255.255.0) is reserved for use by this new LAN switch and that 175.28.1.254 is already configured on the router connected to that same VLAN. The switch needs to support SSH connections into the switch from any subnet in the network. Which of the following commands are part of the required configuration in this case? (Choose two answers.),"a. The switch cannot support SSH because all its ports connect to VLAN 2, and the IP address must be configured on interface VLAN 1.
b. The ip address 175.28.1.150 255.255.255.0 command in interface vlan 2 configuration mode.
c. The ip default-gateway 175.28.1.254 command in global configuration mode.
d. The ip address 172.16.2.250 255.255.255.0 command in interface vlan 1 configuration mode.
e. The ip default-gateway 175.28.1.150 command in global configuration mode.
",,"b,c","b,c",,"The correct commands for this scenario are: 
 b. The 'ip address 175.28.1.150 255.255.255.0' command in interface VLAN 2 configuration mode is used to assign the IP address to the switch. 
 c. The 'ip default-gateway 175.28.1.254' command in global configuration mode is necessary to specify the default gateway for the switch to reach devices on other networks.",[],1,chapter2_ethernet_lans,0.9,0.9999792291637167
29,Which of the following commands lists the content of the startup-config (initial config) file.,"a. show startup-config
b. show initial-config
c. show content-config
d. show file-config
",,a,a,,The correct command to view the content of the startup-config file is 'show startup-config'. This command displays the configuration that will be loaded into memory when the device is booted up.,['https://www.cisco.com/c/en/us/support/docs/security/ios-firewall/23602-confaccesslists.html'],1,chapter2_ethernet_lans,0.95,0.9999763235462916
30,You want to configure the console password with password examsdigest. Which of the following commands will you type to meet the requirement?,"a. Examsdigest#(config)# line console 0
Examsdigest#(config-line)# password examsdigest
Examsdigest#(config-line)# login
Examsdigest#(config-line)# exit
b. Examsdigest#(config)# enable secret examsdigest
c. Examsdigest#(config)# enable console examsdigest
d. Examsdigest#(config)# live vty 0 15
Examsdigest#(config-line)# password examsdigest
Examsdigest#(config-line)# login
Examsdigest#(config-line)# end
",,a,a,,"The correct command sequence to configure the console password is to enter global configuration mode with 'config', then access the console line with 'line console 0', set the password with 'password examsdigest', enable password checking with 'login', and exit from the configuration mode with 'exit'.",['https://www.cisco.com/c/en/us/support/docs/security-vpn/remote-authentication-dial-user-service-radius/13814-10.html'],1,chapter2_ethernet_lans,0.9,0.9999956342685299
