Question Number,Question Text,Choices,Correct Answer,LLM Answer,Correct?
41,Which of the following addresses are not valid Class A network IDs? (Choose all that apply),"a. 1.0.0.0
b. 5.0.0.0
c. 140.0.0.0
d. 127.0.0.0
e. 9.0.0.0
f. 195.0.0.0","c,d,f","c,d,f",1
42,Why does the formula for the number of hosts per subnet (2H – 2) require the subtraction of two hosts?,"a. To reserve two addresses for redundant default gateways(routers)
b. To reserve the two addresses required for DHCP operation
c. To reserve addresses for the subnet broadcast address and subnet ID
d. To reserve addresses for the subnet ID and default gateway (router)
",c,"c,d",0
43,Which of the following addresses are valid Class C network IDs? (Choose two answers),"a. 195.0.0.0
b. 22.22.3.0
c. 222.0.0.0
d. 191.255.255.0
e. 127.0.0.0","a,c","a,c",1
44,A network designer asked you how many subnet (S) bits does he need to create 200 subnets?,"a. 2
b. 5
c. 8
d. 11",c,b,0
45,The addresses in the same network have different values in the network part.,"a. TRUE
b. FALSE
",b,b,1
46,Which of the following IPv4 addresses has a subnet mask 255.255.0.0?,"a. 188.187.186.185
b. 204.203.202.201
c. 55.44.22.11
d. 10.0.0.56",a,d,0
47,Which of the following IPv4 addresses has a subnet mask 255.255.255.0?,"a. 188.187.186.185
b. 204.203.202.201
c. 55.44.22.11
d. 10.0.0.56",b,d,0
48,"The first octet range from the Class A IP networks
is 1 - 126.","a. TRUE
b. FALSE
",a,a,1
49,Which of the following IPv4 addresses has a subnet mask 255.0.0.0? (Choose all that apply),"a. 188.187.186.185
b. 204.203.202.201
c. 55.44.22.11
d. 10.0.0.56
e. 100.24.5.56
f. 192.168.178.6","c,d,e","d,e",0
50,Which of the following ranges is a valid class B network numbers?,"a. 128.0.0.0 - 191.255.0.0
b. 1.0.0.0 - 126.0.0.0
c. 192.0.0.0 - 223.255.255.0
d. 224.0.0.0 - 254.255.255.0",a,"a,b",0
51,Which of the following ranges is a valid class C network numbers?,"a. 128.0.0.0 - 191.255.0.0
b. 1.0.0.0 - 126.0.0.0
c. 192.0.0.0 - 223.255.255.0
d. 224.0.0.0 - 254.255.255.0",c,c,1
52,Which of the following is the default mask of the IP 10.2.0.0?,"a. 255.0.0.0
b. 255.255.0.0
c. 255.255.255.0
d. 255.255.255.255",a,"a,b",0
53,What information can you extract having the IP address 172.16.99.45? (Choose two answers.),"a. The network ID is 172.0.0.0.
b. The default mask for the network is 255.255.255.0.
c. The network is a Class B network.
d. The number of host bits in the unsubnetted network is 16.
e. The broadcast address of the network is 172.255.255.255","c,d","c,d",1
54,A network designer asked you how many subnets (S) bits does he need to create 100 subnets? (Type only the number),"a. 4
b. 5
c. 6
d. 7",d,d,1
55,"The senior network engineer asked you to choose the broadcast address from the last subnet according to the following details:
Network 172.28.0.0 (Class B)
Mask 255.255.0.0 (for all subnets)","a. 172.28.255.254
b. 172.255.255.255
c. 172.28.200.255
d. 172.28.255.255",d,d,1
56,The address 130.0.0.0 is a Class ____________ network ID,"a. A
b. B
c. C
d. D
",b,b,1
57,Which of the following is the default mask of the IP 178.25.3.0?,"a. 255.0.0.0
b. 255.255.0.0
c. 255.255.255.0
d. 255.255.255.255",b,b,1
58,The address 200.0.0.0 is a Class ____________ network ID,"a. A
b. B
c. C
d. D
",c,b,0
59,The range of the Class C public IP Networks is _________________ - _________________,"a. 10.0.0.0 - 140.255.255.0
b. 192.0.0.0 - 223.255.255.0
c. 200.0.0.0 - 223.255.255.0
d. 224.0.0.0 - 254.255.255.0",b,b,1
60,"The senior network engineer asked you to choose the last usable address for a host from the last subnet according to the following details:
Network 9.0.0.0 (Class A)
Mask 255.255.0.0 (for all subnets)","a. 9.255.255.254
b. 10.255.255.254
c. 11.255.255.254
d. 12.255.255.254",a,a,1
61,The first octet range from the Class B IP networks is 1 - 126.,"a. TRUE
b. FALSE
",b,a,0
62,A network designer asked you how many subnet (S) bits does he need to create 5 subnets?,"a. 2
b. 3
c. 4
d. 5",b,b,1
63,Which of the following are private IP networks? (Choose all that apply),"a. 172.31.100.0
b. 164.16.2.0
c. 192.166.255.0
d. 192.168.1.0
e. 11.11.11.0
f. 172.24.0.0","a,d,f","a,d,e,f",0
